name,site,type,subtypes,category,phone,full_address,rating,reviews,working_hours,other_hours,business_status,about,range,logo,description,verified,,,,,,,,
Sub Shop,,Sandwich shop,Sandwich shop,restaurants,+1 204-728-2515,"510 1st St, Brandon, MB R7A 2X1",4.1,40,"{""Sunday"": ""Closed"", ""Monday"": ""9a.m.-8p.m."", ""Tuesday"": ""9a.m.-8p.m."", ""Wednesday"": ""9a.m.-8p.m."", ""Thursday"": ""9a.m.-8p.m."", ""Friday"": ""9a.m.-8p.m."", ""Saturday"": ""11a.m.-5p.m.""}","[{""delivery"": {""Sunday"": ""10 a.m.-7:30 p.m."", ""Monday"": ""10 a.m.-8:30 p.m."", ""Tuesday"": ""10 a.m.-8:30 p.m."", ""Wednesday"": ""10 a.m.-8:30 p.m."", ""Thursday"": ""10 a.m.-8:30 p.m."", ""Friday"": ""10 a.m.-8:30 p.m."", ""Saturday"": ""10 a.m.-7:30 p.m.""}}]",OPERATIONAL,"{""Service options"": {""Delivery"": true, ""Takeout"": true, ""Dine-in"": true}, ""Accessibility"": {""Wheelchair accessible seating"": true, ""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible parking lot"": true, ""Wheelchair-accessible washroom"": true}, ""Offerings"": {""Coffee"": true, ""Healthy options"": true, ""Vegetarian options"": true}, ""Dining options"": {""Lunch"": true, ""Dinner"": true}, ""Amenities"": {""Washroom"": true}, ""Atmosphere"": {""Casual"": true}, ""Crowd"": {""Groups"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""Good for kids"": true}}",,,,FALSE,,,,,,,,
Mariachi Mexican Tacos & Cantina,http://www.mariachitacos.ca/,Mexican restaurant,Mexican restaurant,restaurants,+1 204-717-9777,"1505 1st St c, Brandon, MB R7A 7A1",4.6,80,"{""Sunday"": ""11a.m.-9p.m."", ""Monday"": ""11a.m.-9p.m."", ""Tuesday"": ""11a.m.-9p.m."", ""Wednesday"": ""11a.m.-9p.m."", ""Thursday"": ""11a.m.-9p.m."", ""Friday"": ""11a.m.-9p.m."", ""Saturday"": ""11a.m.-9p.m.""}",,OPERATIONAL,"{""Service options"": {""Delivery"": true, ""Takeout"": true, ""Dine-in"": true}, ""Accessibility"": {""Wheelchair accessible seating"": true, ""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible parking lot"": true}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Small plates"": true}, ""Dining options"": {""Lunch"": true, ""Dinner"": true, ""Dessert"": true}, ""Amenities"": {""Washroom"": true}, ""Atmosphere"": {""Casual"": true, ""Cozy"": true}, ""Crowd"": {""Groups"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""Good for kids"": true}, ""Parking"": {""Free parking lot"": true, ""Parking"": true}}",,,,FALSE,,,,,,,,
Thai Express Restaurant Brandon,https://thaiexpress.ca/locations/?utm_source=G,Thai restaurant,"Thai restaurant, Asian restaurant, Dumpling restaurant, Takeout Restaurant, Noodle shop, Restaurant, Salad shop, Soup restaurant, Southeast Asian restaurant",restaurants,+1 204-727-5574,"Shoppers Mall Brandon, 1570 18th St, Brandon, MB R7A 5C5",3.9,75,"{""Sunday"": ""11a.m.-6p.m."", ""Monday"": ""11a.m.-7p.m."", ""Tuesday"": ""11a.m.-7p.m."", ""Wednesday"": ""11a.m.-7p.m."", ""Thursday"": ""11a.m.-7p.m."", ""Friday"": ""11a.m.-7p.m."", ""Saturday"": ""11a.m.-6p.m.""}","[{""delivery"": {""Sunday"": ""11 a.m.-6 p.m."", ""Monday"": ""11 a.m.-7 p.m."", ""Tuesday"": ""11 a.m.-7 p.m."", ""Wednesday"": ""11 a.m.-7 p.m."", ""Thursday"": ""11 a.m.-7 p.m."", ""Friday"": ""11 a.m.-7 p.m."", ""Saturday"": ""11 a.m.-6 p.m.""}}]",OPERATIONAL,"{""Service options"": {""Delivery"": true, ""Takeout"": true, ""Dine-in"": true}, ""Accessibility"": {""Wheelchair accessible seating"": true, ""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible parking lot"": true}, ""Offerings"": {""Healthy options"": true, ""Small plates"": true, ""Vegan options"": true, ""Vegetarian options"": true}, ""Dining options"": {""Lunch"": true, ""Dinner"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Washroom"": false}, ""Atmosphere"": {""Casual"": true}, ""Crowd"": {""Family-friendly"": true, ""LGBTQ+ friendly"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""Good for kids"": true, ""Kids' menu"": true}, ""Other"": {""LGBTQ+ friendly"": true}}",$,https://lh4.googleusercontent.com/-PNxDBP_d8jk/AAAAAAAAAAI/AAAAAAAAAAA/UJRD1tfRa0Q/s44-p-k-no-ns-nd/photo.jpg,"Noodles, stir-fries, curries & other Thai dishes served in a down-to-earth restaurant.",TRUE,,,,,,,,
A&W Canada,https://web.aw.ca/,Hamburger restaurant,"Hamburger restaurant, American restaurant, Breakfast restaurant, Chicken restaurant, Fast food restaurant",Hamburger restaurant,+1 204-571-3167,"1570 18th St, Brandon, MB R7A 5C5",4,108,"{""Sunday"": ""11a.m.-6p.m."", ""Monday"": ""9:30a.m.-8p.m."", ""Tuesday"": ""9:30a.m.-8p.m."", ""Wednesday"": ""9:30a.m.-8p.m."", ""Thursday"": ""9:30a.m.-8p.m."", ""Friday"": ""9:30a.m.-8p.m."", ""Saturday"": ""9:30a.m.-6p.m.""}",,OPERATIONAL,"{""Service options"": {""Drive-through"": true, ""Takeout"": true, ""Dine-in"": true}, ""Accessibility"": {""Wheelchair accessible seating"": true, ""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible parking lot"": true, ""Wheelchair-accessible washroom"": true}, ""Offerings"": {""Beer"": true, ""Coffee"": true}, ""Dining options"": {""Breakfast"": true, ""Lunch"": true, ""Dinner"": true, ""Counter service"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Washroom"": true}, ""Atmosphere"": {""Casual"": true}, ""Crowd"": {""Groups"": true}, ""Planning"": {""Accepts reservations"": false}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""Good for kids"": true, ""High chairs"": true, ""Kids' menu"": true}}",$,https://lh4.googleusercontent.com/-fsUFV77QkLE/AAAAAAAAAAI/AAAAAAAAAAA/852nK0ghBsY/s44-p-k-no-ns-nd/photo.jpg,"Fast-food outlet serving up namesake root beer, plus burgers, chicken & fries.",TRUE,,,,,,,,
Bong Bong Chef,https://www.bongbongchef.com/,Asian restaurant,Asian restaurant,restaurants,+1 204-717-7878,"1113 Rosser Ave, Brandon, MB R7A 0L8",4.1,21,"{""Sunday"": ""12-8:30p.m."", ""Monday"": ""11a.m.-9p.m."", ""Tuesday"": ""11a.m.-9p.m."", ""Wednesday"": ""11a.m.-9p.m."", ""Thursday"": ""11a.m.-9p.m."", ""Friday"": ""11a.m.-9:30p.m."", ""Saturday"": ""11a.m.-9:30p.m.""}","[{""delivery"": {""Sunday"": ""12-8:30 p.m."", ""Monday"": ""11 a.m.-9 p.m."", ""Tuesday"": ""11 a.m.-9 p.m."", ""Wednesday"": ""11 a.m.-9 p.m."", ""Thursday"": ""11 a.m.-9 p.m."", ""Friday"": ""11 a.m.-9 p.m."", ""Saturday"": ""11 a.m.-9 p.m.""}}]",OPERATIONAL,"{""From the business"": {""Identifies as women-owned"": true}, ""Service options"": {""Curbside pickup"": true, ""Delivery"": true, ""Takeout"": true, ""Dine-in"": true}, ""Accessibility"": {""Wheelchair accessible seating"": true, ""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible parking lot"": true, ""Wheelchair-accessible washroom"": true}, ""Offerings"": {""Coffee"": true, ""Healthy options"": true, ""Small plates"": true}, ""Dining options"": {""Lunch"": true, ""Dinner"": true, ""Catering"": true, ""Counter service"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Washroom"": true}, ""Atmosphere"": {""Casual"": true}, ""Crowd"": {""Groups"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Parking"": {""Free parking lot"": true, ""Paid street parking"": true, ""Parking"": true}, ""Other"": {""Identifies as women-owned"": true}}",,https://lh6.googleusercontent.com/-ShLIsnGDEFU/AAAAAAAAAAI/AAAAAAAAAAA/c-Rf9SlmH6I/s44-p-k-no-ns-nd/photo.jpg,"Welcome to Bong Bong Chef Restaurant in Brandon, Manitoba! Our fusion-style eatery offers a delightful blend of tasty Chinese food and popular Western dishes. Step into our inviting space, where modern decor merges both cultures. Our menu showcases the best of both worlds with delectable options. Using only fresh ingredients, our skilled chefs create innovative and mouthwatering fusion dishes. Pair your meal with our selection of cocktails, wines, and specialty teas. Join us for an unforgettable gastronomic adventure where East meets West at Bong Bong Chef Restaurant. Book your table today for dine-in or order online for pick-up or delivery.",TRUE,,,,,,,,
Marino's Pizza,http://marinospizzaandpasta.ca/,Pizza restaurant,"Pizza restaurant, Italian restaurant",restaurants,+1 204-578-5555,"441 10th St, Brandon, MB R7A 4G3",4.3,291,"{""Sunday"": ""4-9p.m."", ""Monday"": ""4-9p.m."", ""Tuesday"": ""4-9p.m."", ""Wednesday"": ""4-9p.m."", ""Thursday"": ""4-9p.m."", ""Friday"": ""4-9p.m."", ""Saturday"": ""4-9p.m.""}",,OPERATIONAL,"{""Service options"": {""No-contact delivery"": true, ""Delivery"": true, ""Takeout"": true, ""Dine-in"": true}, ""Accessibility"": {""Wheelchair accessible seating"": true, ""Wheelchair-accessible elevator"": true, ""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible parking lot"": true, ""Wheelchair-accessible washroom"": true}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Cocktails"": true, ""Coffee"": true, ""Hard liquor"": true, ""Late-night food"": true, ""Small plates"": true, ""Wine"": true}, ""Dining options"": {""Dinner"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Washroom"": true}, ""Atmosphere"": {""Casual"": true, ""Cozy"": true}, ""Crowd"": {""Groups"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""Good for kids"": true, ""High chairs"": true, ""Kids' menu"": true}, ""Parking"": {""Free parking lot"": true, ""Paid street parking"": true}}",$$,,,FALSE,,,,,,,,
Opa! of Greece Brandon,https://opasouvlaki.ca/,Greek restaurant,Greek restaurant,restaurants,+1 204-727-0444,"1229 Richmond Ave, Brandon, MB R7A 1M5",4.6,52,"{""Sunday"": ""11:30a.m.-7:30p.m."", ""Monday"": ""11a.m.-8p.m."", ""Tuesday"": ""11a.m.-8p.m."", ""Wednesday"": ""11a.m.-8p.m."", ""Thursday"": ""11a.m.-8p.m."", ""Friday"": ""11a.m.-9p.m."", ""Saturday"": ""11a.m.-9p.m.""}",,OPERATIONAL,"{""Service options"": {""Delivery"": true, ""Takeout"": true, ""Dine-in"": true}, ""Accessibility"": {""Wheelchair accessible seating"": true, ""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible parking lot"": true, ""Wheelchair-accessible washroom"": true}, ""Offerings"": {""Healthy options"": true, ""Small plates"": true}, ""Dining options"": {""Lunch"": true, ""Dinner"": true, ""Catering"": true, ""Counter service"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Washroom"": true, ""Wi-Fi"": true}, ""Atmosphere"": {""Casual"": true, ""Cozy"": true}, ""Crowd"": {""Family-friendly"": true, ""Groups"": true, ""LGBTQ+ friendly"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""Good for kids"": true, ""High chairs"": true}, ""Parking"": {""Free parking lot"": true, ""Parking"": true}, ""Other"": {""LGBTQ+ friendly"": true}}",$,https://lh6.googleusercontent.com/-ad74cMQV2ig/AAAAAAAAAAI/AAAAAAAAAAA/FgMMleojNd0/s44-p-k-no-ns-nd/photo.jpg,"OPA's hot, fresh Mediterranean food and genuine hospitality are what makes us who we are. We focus on creating the ultimate customer experience",TRUE,,,,,,,,
Romana Pizza,http://www.romanapizzabrandon.com/,Pizza restaurant,"Pizza restaurant, Italian restaurant",restaurants,+1 204-727-8486,"39 9th St, Brandon, MB R7A 0J1",4.4,176,"{""Sunday"": ""11a.m.-10p.m."", ""Monday"": ""11a.m.-10p.m."", ""Tuesday"": ""11a.m.-10p.m."", ""Wednesday"": ""11a.m.-10p.m."", ""Thursday"": ""11a.m.-10p.m."", ""Friday"": ""11a.m.-10p.m."", ""Saturday"": ""11a.m.-10p.m.""}",,OPERATIONAL,"{""Service options"": {""Curbside pickup"": true, ""No-contact delivery"": true, ""Delivery"": true, ""Takeout"": true, ""Dine-in"": true}, ""Accessibility"": {""Wheelchair accessible seating"": true, ""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible parking lot"": true, ""Wheelchair-accessible washroom"": true}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Coffee"": true, ""Late-night food"": true, ""Small plates"": true}, ""Dining options"": {""Lunch"": true, ""Dinner"": true, ""Dessert"": true}, ""Amenities"": {""Washroom"": true}, ""Atmosphere"": {""Casual"": true, ""Cozy"": true}, ""Crowd"": {""Groups"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""Good for kids"": true, ""Kids' menu"": true}}",$$,https://lh6.googleusercontent.com/-k_0AXYPjfck/AAAAAAAAAAI/AAAAAAAAAAA/y0Sf8brYq-Y/s44-p-k-no-ns-nd/photo.jpg,,TRUE,,,,,,,,
Pizza Express,http://pizzaexpressbdn.com/,Pizza restaurant,"Pizza restaurant, Family restaurant, Greek restaurant, Italian restaurant, Delivery Restaurant, Takeout Restaurant",restaurants,+1 204-727-2727,"360 10th St, Brandon, MB R7A 4G1",4.6,468,"{""Sunday"": ""4p.m.-12a.m."", ""Monday"": ""4p.m.-12a.m."", ""Tuesday"": ""4p.m.-12a.m."", ""Wednesday"": ""4p.m.-12a.m."", ""Thursday"": ""4p.m.-12a.m."", ""Friday"": ""4p.m.-12a.m."", ""Saturday"": ""4p.m.-12a.m.""}",,OPERATIONAL,"{""Service options"": {""Curbside pickup"": true, ""No-contact delivery"": true, ""Delivery"": true, ""Takeout"": true, ""Dine-in"": true}, ""Highlights"": {""Fast service"": true}, ""Accessibility"": {""Wheelchair accessible seating"": true, ""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible parking lot"": true, ""Wheelchair-accessible washroom"": true}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Coffee"": true, ""Hard liquor"": true, ""Healthy options"": true, ""Late-night food"": true, ""Quick bite"": true, ""Small plates"": true, ""Vegetarian options"": true, ""Wine"": true}, ""Dining options"": {""Lunch"": true, ""Dinner"": true, ""Catering"": true, ""Dessert"": true}, ""Amenities"": {""Washroom"": true}, ""Atmosphere"": {""Casual"": true, ""Cozy"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""Good for kids"": true, ""Kids' menu"": true}}",$$,https://lh6.googleusercontent.com/-KKV7Z6stir8/AAAAAAAAAAI/AAAAAAAAAAA/QNrCimceDOc/s44-p-k-no-ns-nd/photo.jpg,,TRUE,,,,,,,,
Enjoy Sushi in Brandon,,Sushi takeaway,Sushi takeaway,Sushi takeaway,,"1133 Stickney Ave, Brandon, MB R7A 0E4",5,4,"{""Sunday"": ""Closed"", ""Monday"": ""Closed"", ""Tuesday"": ""Closed"", ""Wednesday"": ""Closed"", ""Thursday"": ""11a.m.-5p.m."", ""Friday"": ""Closed"", ""Saturday"": ""Closed""}",,OPERATIONAL,"{""Service options"": {""Curbside pickup"": true}, ""Accessibility"": {""Wheelchair accessible seating"": true, ""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible parking lot"": true, ""Wheelchair-accessible washroom"": true}, ""Offerings"": {""Healthy options"": true}, ""Dining options"": {""Lunch"": true, ""Dinner"": true}, ""Amenities"": {""Washroom"": true}, ""Atmosphere"": {""Casual"": true}, ""Payments"": {""Credit cards"": true}}",,https://lh6.googleusercontent.com/-1BhHmzIZoVY/AAAAAAAAAAI/AAAAAAAAAAA/Zy6ozMlmDSA/s44-p-k-no-ns-nd/photo.jpg,,TRUE,,,,,,,,
Los Brothers,,Restaurant,Restaurant,restaurants,+1 204-717-7778,"260 10th St, Brandon, MB R7A 4E8",5,3,"{""Sunday"": ""Closed"", ""Monday"": ""11a.m.-3p.m."", ""Tuesday"": ""11a.m.-9p.m."", ""Wednesday"": ""11a.m.-9p.m."", ""Thursday"": ""10a.m.-9p.m."", ""Friday"": ""11a.m.-11p.m."", ""Saturday"": ""11a.m.-11p.m.""}",,OPERATIONAL,"{""Service options"": {""Curbside pickup"": true, ""Delivery"": true, ""Takeout"": true, ""Dine-in"": true}, ""Accessibility"": {""Wheelchair-accessible parking lot"": true}, ""Atmosphere"": {""Casual"": true}, ""Crowd"": {""Groups"": true}, ""Payments"": {""Credit cards"": true}}",,https://lh3.googleusercontent.com/-ASNlAvYlPX4/AAAAAAAAAAI/AAAAAAAAAAA/L7yQWsyTC_M/s44-p-k-no-ns-nd/photo.jpg,,TRUE,,,,,,,,
North Hill Inn Restaurant,,Restaurant,Restaurant,restaurants,+1 204-726-1818,"1129 Braecrest Dr, Brandon, MB R7A 5Y5",3.1,21,"{""Sunday"": ""Closed"", ""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Closed""}",,OPERATIONAL,"{""Service options"": {""Takeout"": true, ""Dine-in"": true, ""Delivery"": false}, ""Accessibility"": {""Wheelchair accessible seating"": true, ""Wheelchair-accessible parking lot"": true, ""Wheelchair-accessible washroom"": true}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Cocktails"": true, ""Coffee"": true, ""Hard liquor"": true, ""Wine"": true}, ""Dining options"": {""Dinner"": true, ""Dessert"": true}, ""Amenities"": {""Bar on-site"": true, ""Washroom"": true}, ""Atmosphere"": {""Casual"": true, ""Cozy"": true}, ""Crowd"": {""Groups"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}}",,,,FALSE,,,,,,,,
Mum's Family Restaurant,,Restaurant,Restaurant,restaurants,+1 204-725-0888,"505 24th St, Brandon, MB R7B 1X6",4.3,517,"{""Sunday"": ""7a.m.-7p.m."", ""Monday"": ""7a.m.-7p.m."", ""Tuesday"": ""7a.m.-7p.m."", ""Wednesday"": ""7a.m.-7p.m."", ""Thursday"": ""7a.m.-7p.m."", ""Friday"": ""7a.m.-7p.m."", ""Saturday"": ""7a.m.-7p.m.""}",,OPERATIONAL,"{""Service options"": {""Delivery"": true, ""Takeout"": true, ""Dine-in"": true}, ""Highlights"": {""Fast service"": true, ""Great tea selection"": true}, ""Accessibility"": {""Wheelchair accessible seating"": true, ""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible parking lot"": true, ""Wheelchair-accessible washroom"": true}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Coffee"": true, ""Healthy options"": true, ""Quick bite"": true, ""Small plates"": true}, ""Dining options"": {""Breakfast"": true, ""Brunch"": true, ""Lunch"": true, ""Dinner"": true, ""Catering"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Washroom"": true}, ""Atmosphere"": {""Casual"": true, ""Cozy"": true}, ""Crowd"": {""Groups"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""Good for kids"": true, ""High chairs"": true, ""Kids' menu"": true}, ""Parking"": {""Free parking lot"": true, ""Parking"": true}}",$,https://lh3.googleusercontent.com/-xO1Dp1OK_Os/AAAAAAAAAAI/AAAAAAAAAAA/lQqyc71KS44/s44-p-k-no-ns-nd/photo.jpg,,TRUE,,,,,,,,
Double Happiness Restaurant,https://www.doublehappinessbrandon.ca/,Chinese restaurant,Chinese restaurant,restaurants,+1 204-728-6388,"608 Rosser Ave, Brandon, MB R7A 0K7",4.4,229,"{""Sunday"": ""4:30-9p.m."", ""Monday"": ""11:30a.m.-9p.m."", ""Tuesday"": ""11:30a.m.-9p.m."", ""Wednesday"": ""11:30a.m.-9p.m."", ""Thursday"": ""11:30a.m.-9p.m."", ""Friday"": ""11:30a.m.-9p.m."", ""Saturday"": ""11:30a.m.-9p.m.""}",,OPERATIONAL,"{""Service options"": {""Delivery"": true, ""Takeout"": true, ""Dine-in"": true}, ""Highlights"": {""Fast service"": true, ""Great tea selection"": true}, ""Accessibility"": {""Wheelchair accessible seating"": true, ""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible parking lot"": true}, ""Offerings"": {""All you can eat"": true, ""Coffee"": true, ""Healthy options"": true, ""Quick bite"": true, ""Small plates"": true, ""Vegetarian options"": true}, ""Dining options"": {""Lunch"": true, ""Dinner"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Washroom"": true}, ""Atmosphere"": {""Casual"": true, ""Cozy"": true}, ""Crowd"": {""Groups"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""Good for kids"": true, ""High chairs"": true}}",$,,,FALSE,,,,,,,,
Boston Pizza,https://bostonpizza.com/brandon,Pizza restaurant,"Pizza restaurant, Family restaurant, Sports bar",restaurants,+1 204-725-3661,"1140 Richmond Ave #2, Brandon, MB R7A 1M6",4,653,"{""Sunday"": ""11a.m.-11p.m."", ""Monday"": ""11a.m.-11p.m."", ""Tuesday"": ""11a.m.-11p.m."", ""Wednesday"": ""11a.m.-11p.m."", ""Thursday"": ""11a.m.-11p.m."", ""Friday"": ""11a.m.-12a.m."", ""Saturday"": ""11a.m.-12a.m.""}",,OPERATIONAL,"{""Service options"": {""Outdoor seating"": true, ""Curbside pickup"": true, ""No-contact delivery"": true, ""Delivery"": true, ""Takeout"": true, ""Dine-in"": true}, ""Highlights"": {""Fast service"": true, ""Great cocktails"": true, ""Sports"": true}, ""Accessibility"": {""Wheelchair accessible seating"": true, ""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible parking lot"": true, ""Wheelchair-accessible washroom"": true}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Cocktails"": true, ""Coffee"": true, ""Hard liquor"": true, ""Healthy options"": true, ""Late-night food"": true, ""Small plates"": true, ""Vegetarian options"": true, ""Wine"": true}, ""Dining options"": {""Lunch"": true, ""Dinner"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Bar on-site"": true, ""Washroom"": true}, ""Atmosphere"": {""Casual"": true}, ""Crowd"": {""Family-friendly"": true, ""Groups"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""Good for kids"": true, ""Good for kids birthday"": true, ""High chairs"": true, ""Kids' menu"": true}, ""Parking"": {""Free parking lot"": true, ""Parking"": true}}",$$,https://lh3.googleusercontent.com/-Lu_9Q9XTBHc/AAAAAAAAAAI/AAAAAAAAAAA/wkJvVBm1J54/s44-p-k-no-ns-nd/photo.jpg,,TRUE,,,,,,,,
Pita Pit,https://pitapit.ca/locations/brandon?utm_source=gmb,Sandwich shop,"Sandwich shop, Caterer, Fast food restaurant, Mediterranean restaurant, Restaurant",restaurants,+1 204-717-7482,"658 18th St, Brandon, MB R7A 5B4",4,132,"{""Sunday"": ""10a.m.-9p.m."", ""Monday"": ""9:30a.m.-10p.m."", ""Tuesday"": ""9:30a.m.-10p.m."", ""Wednesday"": ""9:30a.m.-10p.m."", ""Thursday"": ""9:30a.m.-10:30p.m."", ""Friday"": ""9:30a.m.-10:30p.m."", ""Saturday"": ""9:30a.m.-10:30p.m.""}",,OPERATIONAL,"{""Service options"": {""Curbside pickup"": true, ""Delivery"": true, ""Takeout"": true, ""Dine-in"": false}, ""Highlights"": {""Fast service"": true}, ""Accessibility"": {""Wheelchair accessible seating"": true, ""Wheelchair-accessible elevator"": true, ""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible parking lot"": true, ""Wheelchair-accessible washroom"": true}, ""Offerings"": {""Halal food"": true, ""Healthy options"": true, ""Quick bite"": true, ""Vegan options"": true, ""Vegetarian options"": true}, ""Dining options"": {""Lunch"": true, ""Dinner"": true, ""Catering"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Washroom"": true}, ""Atmosphere"": {""Casual"": true}, ""Crowd"": {""Groups"": true}, ""Planning"": {""Accepts reservations"": false}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""Good for kids"": true, ""Kids' menu"": true}}",$,https://lh6.googleusercontent.com/-F1I0giQIUHg/AAAAAAAAAAI/AAAAAAAAAAA/xHf65n5t7Uw/s44-p-k-no-ns-nd/photo.jpg,Diners create their own sandwiches at this health-oriented counter-serve chain.,TRUE,,,,,,,,
Great Western Roadhouse,https://www.canadinns.com/meet/canad-inns-event-centres/,Bar,"Bar, Night club",bars,+1 204-727-1422,"1125 18th St, Brandon, MB R7A 7C5",3.6,83,"{""Sunday"": ""Closed"", ""Monday"": ""Closed"", ""Tuesday"": ""Closed"", ""Wednesday"": ""Closed"", ""Thursday"": ""Closed"", ""Friday"": ""9p.m.-2a.m."", ""Saturday"": ""Closed""}",,OPERATIONAL,"{""Service options"": {""Outdoor seating"": true, ""Dine-in"": true, ""Delivery"": false}, ""Highlights"": {""Great cocktails"": true}, ""Accessibility"": {""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible parking lot"": true, ""Wheelchair-accessible washroom"": true}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Cocktails"": true, ""Dancing"": true, ""Food"": true, ""Hard liquor"": true, ""Wine"": true}, ""Dining options"": {""Seating"": true}, ""Amenities"": {""Washroom"": true}, ""Atmosphere"": {""Casual"": true}, ""Crowd"": {""Groups"": true}, ""Payments"": {""Credit cards"": true}}",$$,,,FALSE,,,,,,,,
Tana Ethiopian Cuisine,http://tana-ethiopian.com/,Ethiopian restaurant,Ethiopian restaurant,restaurants,+1 204-717-4771,"302 10th St, Brandon, MB R7A 4G1",4.8,192,"{""Sunday"": ""Closed"", ""Monday"": ""11:45a.m.-8p.m."", ""Tuesday"": ""11:45a.m.-8p.m."", ""Wednesday"": ""11:45a.m.-8p.m."", ""Thursday"": ""11:45a.m.-8p.m."", ""Friday"": ""11:45a.m.-8p.m."", ""Saturday"": ""11:45a.m.-8p.m.""}",,OPERATIONAL,"{""Service options"": {""Curbside pickup"": true, ""No-contact delivery"": true, ""Delivery"": true, ""Takeout"": true, ""Dine-in"": true}, ""Accessibility"": {""Wheelchair accessible seating"": true, ""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible parking lot"": true, ""Wheelchair-accessible washroom"": true}, ""Offerings"": {""All you can eat"": true, ""Coffee"": true, ""Healthy options"": true, ""Small plates"": true, ""Vegan options"": true, ""Vegetarian options"": true}, ""Dining options"": {""Lunch"": true, ""Dinner"": true, ""Dessert"": true}, ""Amenities"": {""Washroom"": true}, ""Atmosphere"": {""Casual"": true, ""Cozy"": true}, ""Crowd"": {""Groups"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true}, ""Children"": {""Good for kids"": true}}",$,https://lh6.googleusercontent.com/-HdqzcLI56Qs/AAAAAAAAAAI/AAAAAAAAAAA/Z4ZzCHLgh9Y/s44-p-k-no-ns-nd/photo.jpg,,TRUE,,,,,,,,
